fold 1
design output,prediction output
0.457,0.4064425438525124
0.307,0.31882215935327674
0.217,0.22467563064701787
0.25,0.2739152593143311
0.29,0.30056383440271456
0.433,0.4251149305042084
0.412,0.33976249943189324
0.238,0.2304687064698192
0.45,0.39042411781819747
0.231,0.24011908464708284
0.234,0.23918287895460338
0.484,0.4870073574779839
0.471,0.44776619863325384
0.29,0.29741930820721446
0.335,0.3566914092507785
0.153,0.165545840670605
0.427,0.4234191191250727
0.353,0.36342010217355436
0.454,0.3986012243983105
0.214,0.22690008695284156
0.323,0.3429501391317487
0.41,0.3924796352690504
0.172,0.1688411294049853
0.313,0.3291271982035505
0.43,0.42144205534395013
0.489,0.493215067239954
0.236,0.23906875821845386
0.341,0.3545936249152245
0.49,0.4952798796730548
0.308,0.32682735833120297
0.329,0.3519461683319388
0.214,0.22726038601362183

fold 2
design output,prediction output
0.24,0.23153230872929023
0.209,0.22648861484859648
0.447,0.364650303511183
0.209,0.2266852636503473
0.302,0.29886669198236737
0.49,0.4907518150235614
0.21,0.22707105449192652
0.49,0.4939310949807062
0.253,0.2811203039339771
0.465,0.4552055449987651
0.468,0.4572661045865809
0.39,0.397455882560908
0.315,0.3252580951459917
0.192,0.17210803962483368
0.216,0.22535073476898834
0.362,0.2925803171789943
0.467,0.45629402738993385
0.211,0.22771906521156268
0.49,0.4942799607854259
0.45,0.444921040425467
0.311,0.3351357336208073
0.298,0.3147886128063216
0.405,0.3287157949229435
0.382,0.40015766026843047
0.357,0.3715601656909104
0.246,0.18712061687954093
0.466,0.42873967608621594
0.232,0.24016471911704435
0.485,0.47941943832191913
0.234,0.24447182939653425
0.288,0.2458044804677132
0.345,0.362674341238476

fold 3
design output,prediction output
0.274,0.3274574854147492
0.368,0.3816871652205131
0.472,0.4006587082639281
0.209,0.2835923659182036
0.153,0.23430047692887818
0.212,0.28438569542212094
0.213,0.28431330623439943
0.168,0.2365247935614899
0.214,0.2841384846113023
0.39,0.3325839138543718
0.437,0.40192881709881556
0.49,0.4274371626412586
0.448,0.4119434028422919
0.333,0.3614578257502625
0.308,0.33074317006360104
0.381,0.3808900653098553
0.428,0.36202327115569327
0.32,0.34605320778421306
0.156,0.2354752164507506
0.35,0.3070821542845345
0.47,0.41190238445159083
0.245,0.3035844866013999
0.262,0.32321889474334237
0.42,0.35713974822814554
0.232,0.2841202608186202
0.305,0.3426566064753511
0.153,0.2336617178587895
0.435,0.3506092582344281
0.305,0.34225679250367197
0.471,0.4087222013830575
0.49,0.42880258555032597
0.385,0.38241089402048156

fold 4
design output,prediction output
0.319,0.3414254199258049
0.412,0.32918037631719665
0.207,0.17250014820296114
0.215,0.22700982240252823
0.246,0.2590262436418706
0.38,0.2943155666841102
0.41,0.41222092237845254
0.291,0.3052809015253026
0.39,0.399671048353009
0.306,0.32558992839445455
0.451,0.46176018030730703
0.291,0.3072109436609797
0.467,0.43618554778001584
0.47,0.48120890728194443
0.339,0.3640520553453502
0.483,0.4824200362746576
0.213,0.2299185045744918
0.328,0.3198957314583009
0.153,0.16387531753648255
0.156,0.16586170075242973
0.153,0.16399783628571488
0.209,0.2286463221191781
0.337,0.354304990630523
0.433,0.3662529236305815
0.471,0.4554745628260805
0.284,0.298375495397378
0.3,0.24928775280929102
0.455,0.4461985498722316
0.462,0.45320464051892256
0.317,0.33693323628011085
0.23,0.24151511463086295
0.333,0.3114431937675951

fold 5
design output,prediction output
0.246,0.3313364026725719
0.265,0.3312833059055985
0.255,0.3313780177375151
0.276,0.33127221755725206
0.303,0.3312377011752071
0.26,0.3313711223070639
0.33,0.33126570144449613
0.235,0.3313552073319037
0.328,0.331246596008241
0.405,0.3311712909962169
0.325,0.33124276243489925
0.256,0.3312908921676218
0.288,0.33125876400419757
0.221,0.33141124787407955
0.156,0.33166298373902836
0.259,0.3315293330466417
0.365,0.3311878599054597
0.488,0.33112454592753504
0.241,0.3313557854178404
0.436,0.3311479285190954
0.471,0.3311415876660381
0.326,0.3313239501473795
0.325,0.33121359208476464
0.444,0.3311428382875599
0.294,0.3312706673488999
0.247,0.33133204349105283
0.211,0.33140803371610456
0.153,0.3316747721726943
0.247,0.33132522365618317
0.156,0.3316608445101543
0.253,0.3312969630239104
0.251,0.331304552220276

fold 6
design output,prediction output
0.235,0.22804752776197731
0.344,0.36602391136096835
0.154,0.16278542862900655
0.215,0.22535966174502775
0.46,0.4702730604909732
0.215,0.22574863220678199
0.475,0.48135406182144436
0.444,0.43488754635385085
0.209,0.22620745437759113
0.34,0.2557058186501689
0.303,0.25021852858409627
0.34,0.28247410278844487
0.239,0.24543986209144592
0.24,0.24418908267825867
0.286,0.2984489271004068
0.248,0.2667382530948668
0.305,0.3168249330743151
0.328,0.3461704796772263
0.438,0.37182952072880165
0.49,0.49801593375070485
0.31,0.3206534378665416
0.396,0.4007818998428362
0.245,0.25112638215480726
0.314,0.24870548450670618
0.319,0.3373718202553216
0.238,0.24759967470407312
0.225,0.22318977777250384
0.36,0.3797590923489623
0.314,0.26212543287506884
0.307,0.319401492146227
0.47,0.4551477793212845
0.417,0.4022148681068262

fold 7
design output,prediction output
0.351,0.3816788101924346
0.218,0.2254757377415721
0.427,0.42575359865648504
0.315,0.3387420988792946
0.23,0.24191215408990763
0.468,0.4755448633968789
0.327,0.35658880300454365
0.308,0.3277932585672531
0.232,0.2435165603661106
0.459,0.45210112751267334
0.236,0.2515067824323846
0.288,0.30220152373381975
0.294,0.31467738851651955
0.3,0.31919477862721235
0.234,0.24959042766278566
0.27,0.20224549346545664
0.309,0.33050482505174006
0.293,0.3111790061443589
0.445,0.3851586363341618
0.292,0.3112053132493466
0.47,0.44515023920208824
0.36,0.2704299496758545
0.268,0.2913755790209803
0.328,0.25344785811321596
0.464,0.473366930285427
0.416,0.423579977794583
0.46,0.41634180782401387
0.245,0.23403514984730373
0.401,0.402944033999753
0.349,0.3693782429155523
0.294,0.3129973920608165
0.469,0.4410181680963646

fold 8
design output,prediction output
0.489,0.5104170671599517
0.315,0.31880862618682837
0.237,0.18881302718193704
0.422,0.4365651127883624
0.29,0.24039146116994062
0.311,0.3448920209362331
0.252,0.2925419972521776
0.16,0.17292308387444044
0.247,0.27426668774449686
0.288,0.31638203425910005
0.356,0.3930247884550789
0.233,0.2545731194136246
0.153,0.17058707211019838
0.37,0.39161131468679233
0.153,0.17087039393661838
0.431,0.445892522338587
0.28,0.3099710004182846
0.164,0.17317058192324636
0.486,0.5100149767465115
0.488,0.5086077459548828
0.322,0.3585314745977238
0.47,0.4680054779118301
0.322,0.34121092885590415
0.271,0.3042035573790517
0.327,0.322858993952752
0.465,0.44139297258812293
0.153,0.1713464398108499
0.376,0.4065135052226021
0.447,0.4566040261714652
0.456,0.48413042793169964
0.397,0.4115572802563271
0.317,0.34111546111244095

fold 9
design output,prediction output
0.231,0.23982476466578062
0.252,0.27997838674277076
0.49,0.5043616393950052
0.37,0.30154552223922093
0.209,0.2296747270938955
0.155,0.15799292895801378
0.478,0.4972101021116845
0.374,0.37058901953075835
0.465,0.45161196490473987
0.333,0.32535384680737955
0.242,0.24255649446986446
0.188,0.16233801855222618
0.3,0.31146368137080743
0.44,0.42989960052724563
0.393,0.3893026259519248
0.47,0.4604399293294494
0.249,0.2695699274327885
0.294,0.30412676347192463
0.24,0.23987384492052144
0.296,0.3138492696527962
0.259,0.2835360536007593
0.243,0.2447616845549174
0.481,0.49014526721619744
0.361,0.3633548803972077
0.322,0.3113844277970174
0.481,0.49837430233308827
0.208,0.23178194816424852
0.468,0.47313719193104276
0.377,0.37221187580005816
0.424,0.4036331101685761
0.39,0.3380861473031919
0.178,0.161099600961851

fold 10
design output,prediction output
0.404,0.33122251644542255
0.215,0.3312472416205125
0.469,0.3312201794317598
0.398,0.33120840216322284
0.315,0.3312183487194739
0.478,0.331222355962646
0.244,0.3312345639357295
0.224,0.3313318076379419
0.28,0.3312423966994427
0.23,0.3312467050683688
0.331,0.3312103801667348
0.25,0.33123421486687765
0.27,0.3312316840610983
0.42,0.3312229767373933
0.413,0.3312233237432213
0.475,0.3312032928788445
0.208,0.3312458530194475
0.165,0.3313730344120277
0.297,0.33121710811178035
0.486,0.3312173646328619
0.303,0.3312157005627393
0.208,0.33124421386255465
0.21,0.3312435964700623
0.296,0.33121944548173154
0.457,0.3312217128520517
0.441,0.3312222668308887

